,id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
27,7IW0NXnSaFGO20hq2fAXfX,Hard Candy,Miami,Counting Crows,False,26,0.562,0.794,2,-4.779,1,0.0365,0.0038,4.47e-05,0.0751,0.328,105.318,audio_features,spotify:track:7IW0NXnSaFGO20hq2fAXfX,https://api.spotify.com/v1/tracks/7IW0NXnSaFGO20hq2fAXfX,https://api.spotify.com/v1/audio-analysis/7IW0NXnSaFGO20hq2fAXfX,5.0182166666666665,4
28,74R9GN2CXItCrSQHllBSlZ,Damaged,Gone,Course Of Nature,False,14,0.46,0.777,3,-4.017,1,0.0301,0.000366,0.0219,0.084,0.164,125.092,audio_features,spotify:track:74R9GN2CXItCrSQHllBSlZ,https://api.spotify.com/v1/tracks/74R9GN2CXItCrSQHllBSlZ,https://api.spotify.com/v1/audio-analysis/74R9GN2CXItCrSQHllBSlZ,4.67045,3
29,3Nl2Yt9eJSMmVnbZFtOP9I,Damaged,Forget Her,Course Of Nature,False,10,0.424,0.895,1,-3.208,1,0.0436,1.93e-05,0.000716,0.0919,0.492,192.929,audio_features,spotify:track:3Nl2Yt9eJSMmVnbZFtOP9I,https://api.spotify.com/v1/tracks/3Nl2Yt9eJSMmVnbZFtOP9I,https://api.spotify.com/v1/audio-analysis/3Nl2Yt9eJSMmVnbZFtOP9I,4.691333333333334,4
30,7zL1KgkpPb2Gi5Q2Inypl5,America's Sweetheart,Mono,Courtney Love,True,40,0.381,0.981,2,-2.723,1,0.0966,9.11e-05,3.53e-05,0.335,0.442,155.967,audio_features,spotify:track:7zL1KgkpPb2Gi5Q2Inypl5,https://api.spotify.com/v1/tracks/7zL1KgkpPb2Gi5Q2Inypl5,https://api.spotify.com/v1/audio-analysis/7zL1KgkpPb2Gi5Q2Inypl5,3.66155,4
31,1mngj46jZenK3JkgZriOiV,America's Sweetheart,Uncool,Courtney Love,False,23,0.431,0.869,2,-4.179,1,0.0445,0.000645,0.0,0.0892,0.136,140.463,audio_features,spotify:track:1mngj46jZenK3JkgZriOiV,https://api.spotify.com/v1/tracks/1mngj46jZenK3JkgZriOiV,https://api.spotify.com/v1/audio-analysis/1mngj46jZenK3JkgZriOiV,4.618216666666667,4
32,2ONrrxRpc3awzxwPOracLD,United States of Mind,Humility,Covenant,False,9,0.675,0.231,7,-12.577,1,0.0667,0.169,0.0628,0.0791,0.395,84.989,audio_features,spotify:track:2ONrrxRpc3awzxwPOracLD,https://api.spotify.com/v1/tracks/2ONrrxRpc3awzxwPOracLD,https://api.spotify.com/v1/audio-analysis/2ONrrxRpc3awzxwPOracLD,4.5906666666666665,4
33,0YgWCNQ9q4jmDZsAprl7CB,Skyshaper,Pulse,Covenant,False,14,0.656,0.87,8,-7.523,1,0.028,0.00212,0.779,0.112,0.413,132.991,audio_features,spotify:track:0YgWCNQ9q4jmDZsAprl7CB,https://api.spotify.com/v1/tracks/0YgWCNQ9q4jmDZsAprl7CB,https://api.spotify.com/v1/audio-analysis/0YgWCNQ9q4jmDZsAprl7CB,6.077333333333334,4
34,6x8EqpeM8XzeoEKfatpSYP,20 All-Time Greatest Hits,Alabam,Cowboy Copas,False,0,0.719,0.653,2,-11.572,1,0.0305,0.378,0.00364,0.129,0.96,106.718,audio_features,spotify:track:6x8EqpeM8XzeoEKfatpSYP,https://api.spotify.com/v1/tracks/6x8EqpeM8XzeoEKfatpSYP,https://api.spotify.com/v1/audio-analysis/6x8EqpeM8XzeoEKfatpSYP,2.3317833333333335,4
35,3gr7WHKE37W7qydk6tgmTo,The Country Gentleman,Blue Angel,Cowboy Copas,False,0,0.596,0.277,7,-19.803,1,0.0419,0.983,0.933,0.109,0.771,115.733,audio_features,spotify:track:3gr7WHKE37W7qydk6tgmTo,https://api.spotify.com/v1/tracks/3gr7WHKE37W7qydk6tgmTo,https://api.spotify.com/v1/audio-analysis/3gr7WHKE37W7qydk6tgmTo,2.049933333333333,4
36,3KDEnX2lejXBEbxhkeI8A4,Cunning Stunts,Ort,Cows,False,6,0.316,0.799,1,-11.223,0,0.047,1.36e-05,0.464,0.337,0.479,146.313,audio_features,spotify:track:3KDEnX2lejXBEbxhkeI8A4,https://api.spotify.com/v1/tracks/3KDEnX2lejXBEbxhkeI8A4,https://api.spotify.com/v1/audio-analysis/3KDEnX2lejXBEbxhkeI8A4,4.37,4
37,2gAlPltAfyQS72ZNzp314p,Daddy Has A Tail,Part My Konk,Cows,False,8,0.162,0.797,9,-12.309,1,0.0497,3.47e-06,0.943,0.466,0.497,133.774,audio_features,spotify:track:2gAlPltAfyQS72ZNzp314p,https://api.spotify.com/v1/tracks/2gAlPltAfyQS72ZNzp314p,https://api.spotify.com/v1/audio-analysis/2gAlPltAfyQS72ZNzp314p,6.162216666666667,3
38,4WHZfXDtKS90yoN1tKWgs9,Kerosene Hat,Loser,Cracker,False,22,0.399,0.223,7,-14.014,1,0.0518,0.561,0.0634,0.0844,0.413,60.121,audio_features,spotify:track:4WHZfXDtKS90yoN1tKWgs9,https://api.spotify.com/v1/tracks/4WHZfXDtKS90yoN1tKWgs9,https://api.spotify.com/v1/audio-analysis/4WHZfXDtKS90yoN1tKWgs9,6.192666666666667,4
39,6ctbCIikHbC6tSOL1rewQX,Kerosene Hat,Low,Cracker,False,62,0.329,0.646,7,-6.962,1,0.0283,0.0093,0.00469,0.101,0.471,173.974,audio_features,spotify:track:6ctbCIikHbC6tSOL1rewQX,https://api.spotify.com/v1/tracks/6ctbCIikHbC6tSOL1rewQX,https://api.spotify.com/v1/audio-analysis/6ctbCIikHbC6tSOL1rewQX,4.6022,4
40,6bx3OWCsfjJL9tV1i4eQmC,Midian,Lord Abortion,Cradle Of Filth,False,36,0.259,0.974,0,-4.813,0,0.0994,5.15e-05,0.0106,0.305,0.2,118.524,audio_features,spotify:track:6bx3OWCsfjJL9tV1i4eQmC,https://api.spotify.com/v1/tracks/6bx3OWCsfjJL9tV1i4eQmC,https://api.spotify.com/v1/audio-analysis/6bx3OWCsfjJL9tV1i4eQmC,6.856216666666667,4
41,4cSIVlCdl2a3nntLEi2gyF,Damnation And A Day,Mannequin,Cradle Of Filth,False,26,0.364,0.993,6,-5.255,1,0.288,0.000237,0.00794,0.199,0.0398,169.808,audio_features,spotify:track:4cSIVlCdl2a3nntLEi2gyF,https://api.spotify.com/v1/tracks/4cSIVlCdl2a3nntLEi2gyF,https://api.spotify.com/v1/audio-analysis/4cSIVlCdl2a3nntLEi2gyF,4.446666666666666,4
42,0gPQTLaqHDgdupKEok7J2x,Born to Do It,7 Days,Craig David,False,72,0.659,0.812,4,-7.499,0,0.0487,0.23,0.0,0.0951,0.888,83.014,audio_features,spotify:track:0gPQTLaqHDgdupKEok7J2x,https://api.spotify.com/v1/tracks/0gPQTLaqHDgdupKEok7J2x,https://api.spotify.com/v1/audio-analysis/0gPQTLaqHDgdupKEok7J2x,3.9188833333333335,4
43,12tcvsrkRhDmBHq62vAXaH,Slicker than Your Average,Fast Cars,Craig David,False,30,0.766,0.716,10,-4.118,0,0.217,0.107,0.0,0.601,0.673,102.023,audio_features,spotify:track:12tcvsrkRhDmBHq62vAXaH,https://api.spotify.com/v1/tracks/12tcvsrkRhDmBHq62vAXaH,https://api.spotify.com/v1/audio-analysis/12tcvsrkRhDmBHq62vAXaH,4.26,4
44,0UzsDmdpw0Q14KU4hieQss,Born to Do It,Fill Me In,Craig David,False,62,0.682,0.744,8,-6.981,1,0.0365,0.376,0.00951,0.06,0.827,132.493,audio_features,spotify:track:0UzsDmdpw0Q14KU4hieQss,https://api.spotify.com/v1/tracks/0UzsDmdpw0Q14KU4hieQss,https://api.spotify.com/v1/audio-analysis/0UzsDmdpw0Q14KU4hieQss,4.286666666666667,4
45,1lnos5PzZdjoJc6vnnrsM3,Craig Morgan,It's Me,Craig Morgan,False,9,0.493,0.902,4,-5.683,1,0.163,0.0245,0.0,0.204,0.733,178.999,audio_features,spotify:track:1lnos5PzZdjoJc6vnnrsM3,https://api.spotify.com/v1/tracks/1lnos5PzZdjoJc6vnnrsM3,https://api.spotify.com/v1/audio-analysis/1lnos5PzZdjoJc6vnnrsM3,2.3748833333333335,4
